,Unnamed: 0,TEAM,PLAYOFF,SEASON
12,12,ATL,0,2000
6,6,BKN,0,2000
4,4,BOS,0,2000
5,5,CHA,1,2000
14,14,CHI,0,2000
8,8,CLE,0,2000
0,0,DET,1,2000
1,1,IND,1,2000
11,11,MIA,1,2000
2,2,MIL,1,2000
13,13,NYK,1,2000
3,3,ORL,0,2000
10,10,PHI,1,2000
7,7,TOR,1,2000
9,9,WAS,0,2000
26,11,ATL,0,2001
24,9,BKN,0,2001
20,5,BOS,0,2001
25,10,CHA,1,2001
29,14,CHI,0,2001
23,8,CLE,0,2001
18,3,DET,0,2001
22,7,IND,1,2001
27,12,MIA,1,2001
15,0,MIL,1,2001
28,13,NYK,1,2001
17,2,ORL,1,2001
19,4,PHI,1,2001
16,1,TOR,1,2001
21,6,WAS,0,2001
37,7,ATL,0,2002
34,4,BKN,1,2002
33,3,BOS,1,2002
38,8,CHA,1,2002
43,13,CHI,0,2002
35,5,CLE,0,2002
36,6,DET,1,2002
32,2,IND,1,2002
44,14,MIA,0,2002
31,1,MIL,0,2002
40,10,NYK,0,2002
30,0,ORL,1,2002
42,12,PHI,1,2002
41,11,TOR,1,2002
39,9,WAS,0,2002
52,7,ATL,0,2003
50,5,BKN,1,2003
53,8,BOS,1,2003
51,6,CHI,0,2003
56,11,CLE,0,2003
55,10,DET,1,2003
48,3,IND,1,2003
58,13,MIA,0,2003
45,0,MIL,1,2003
59,14,NOP,1,2003
49,4,NYK,0,2003
46,1,ORL,1,2003
47,2,PHI,1,2003
57,12,TOR,0,2003
54,9,WAS,0,2003
64,4,ATL,0,2004
68,8,BKN,1,2004
61,1,BOS,1,2004
71,11,CHI,0,2004
63,3,CLE,0,2004
70,10,DET,1,2004
67,7,IND,1,2004
69,9,MIA,1,2004
60,0,MIL,1,2004
74,14,NOP,1,2004
65,5,NYK,1,2004
62,2,ORL,0,2004
72,12,PHI,0,2004
73,13,TOR,0,2004
66,6,WAS,0,2004
83,8,ATL,0,2006
89,14,BKN,1,2006
79,4,BOS,0,2006
84,9,CHA,0,2006
81,6,CHI,1,2006
