year,team,is_playoffs_team
2000,Sacramento Kings,1
2000,Detroit Pistons,1
2000,Dallas Mavericks,0
2000,Indiana Pacers,1
2000,Milwaukee Bucks,1
2000,Los Angeles Lakers,1
2000,Orlando Magic,0
2000,Houston Rockets,0
2000,Boston Celtics,0
2000,Seattle SuperSonics,1
2000,Denver Nuggets,0
2000,Phoenix Suns,1
2000,Minnesota Timberwolves,1
2000,Charlotte Hornets,1
2000,New Jersey Nets,0
2000,Portland Trail Blazers,1
2000,Toronto Raptors,1
2000,Cleveland Cavaliers,0
2000,Washington Wizards,0
2000,Utah Jazz,1
2000,San Antonio Spurs,1
2000,Golden State Warriors,0
2000,Philadelphia 76ers,1
2000,Miami Heat,1
2000,Atlanta Hawks,0
2000,Vancouver Grizzlies,0
2000,New York Knicks,1
2000,Los Angeles Clippers,0
2000,Chicago Bulls,0
2001,Sacramento Kings,1
2001,Milwaukee Bucks,1
2001,Los Angeles Lakers,1
2001,Dallas Mavericks,1
2001,Toronto Raptors,1
2001,Orlando Magic,1
2001,Seattle SuperSonics,0
2001,Minnesota Timberwolves,1
2001,Houston Rockets,0
2001,Utah Jazz,1
2001,Denver Nuggets,0
2001,San Antonio Spurs,1
2001,Detroit Pistons,0
2001,Portland Trail Blazers,1
2001,Philadelphia 76ers,1
2001,Boston Celtics,0
2001,Phoenix Suns,1
2001,Washington Wizards,0
2001,Indiana Pacers,1
2001,Los Angeles Clippers,0
2001,Golden State Warriors,0
2001,Cleveland Cavaliers,0
2001,New Jersey Nets,0
2001,Charlotte Hornets,1
2001,Vancouver Grizzlies,0
2001,Atlanta Hawks,0
2001,Miami Heat,1
2001,New York Knicks,1
2001,Chicago Bulls,0
2002,Dallas Mavericks,1
2002,Sacramento Kings,1
2002,Los Angeles Lakers,1
2002,Orlando Magic,1
2002,Minnesota Timberwolves,1
2002,Golden State Warriors,0
2002,Seattle SuperSonics,1
2002,Milwaukee Bucks,0
2002,Indiana Pacers,1
2002,San Antonio Spurs,1
2002,Portland Trail Blazers,1
2002,Boston Celtics,1
2002,New Jersey Nets,1
2002,Utah Jazz,1
2002,Los Angeles Clippers,0
2002,Cleveland Cavaliers,0
2002,Phoenix Suns,0
2002,Detroit Pistons,1
2002,Atlanta Hawks,0
2002,Charlotte Hornets,1
2002,Washington Wizards,0
2002,Houston Rockets,0
2002,Denver Nuggets,0
2002,New York Knicks,0
2002,Toronto Raptors,1
2002,Philadelphia 76ers,1
2002,Memphis Grizzlies,0
2002,Chicago Bulls,0
2002,Miami Heat,0
2003,Dallas Mavericks,1
2003,Golden State Warriors,0
2003,Sacramento Kings,1
2003,Los Angeles Lakers,1
2003,Milwaukee Bucks,1
2003,Orlando Magic,1
2003,Minnesota Timberwolves,1
2003,Memphis Grizzlies,0
2003,Philadelphia 76ers,1
2003,Indiana Pacers,1
2003,New York Knicks,0
2003,San Antonio Spurs,1
2003,Phoenix Suns,1
